Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Politician,Sentence
0.05520256981253624,0.06780394166707993,0.07862801104784012,0.044573668390512466,0.05346312001347542,0.06853687763214111,0.4497172236442566,0.18723663687705994,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz opowiedział się za bardziej rygorystycznymi przepisami dotyczącymi ochrony środowiska podczas swojej kadencji.
0.03158443793654442,0.07366307079792023,0.09838386625051498,0.05813844874501228,0.06691659986972809,0.03549685701727867,0.4143218994140625,0.1726446896791458,Władysław Kosiniak-Kamysz,"Władysław Kosiniak-Kamysz sprzeciwił się nowej ustawie o reformie podatkowej, wyrażając obawy dotyczące jej wpływu na rodziny ze średnich warstw społecznych."
0.14679314196109772,0.020145690068602562,0.03685100004076958,0.02639647200703621,0.020829861983656883,0.1194019764661789,0.5319002866744995,0.14893928170204163,Władysław Kosiniak-Kamysz,Podczas debaty Władysław Kosiniak-Kamysz obiecał zwiększyć finansowanie publicznej edukacji.
0.09171683341264725,0.029811188578605652,0.0371033251285553,0.0261519942432642,0.030695760622620583,0.08663737028837204,0.5156790614128113,0.13551011681556702,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz jest zagorzałym zwolennikiem umów o wolnym handlu.
0.04054674133658409,0.06298131495714188,0.08348925411701202,0.046136144548654556,0.04088731110095978,0.05214232578873634,0.43825051188468933,0.15413537621498108,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz skrytykował politykę zagraniczną rządu w ostatnim przemówieniu.
0.05411950498819351,0.06059280037879944,0.05886981636285782,0.027073414996266365,0.056906215846538544,0.07914861291646957,0.47566062211990356,0.1749178022146225,Władysław Kosiniak-Kamysz,Propozycja reformy służby zdrowia przedstawiona przez Władysław Kosiniak-Kamysz spotkała się z mieszanymi reakcjami różnych interesariuszy.
0.053955964744091034,0.052963737398386,0.09267009794712067,0.03778926655650139,0.04511245712637901,0.08378215879201889,0.45135417580604553,0.1810847371816635,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz konsekwentnie domaga się reform wyborczych mających na celu zwiększenie uczestnictwa wyborczego.
0.029070936143398285,0.08233284950256348,0.10169302672147751,0.0665491446852684,0.07876985520124435,0.03596984222531319,0.4036085307598114,0.1793648898601532,Władysław Kosiniak-Kamysz,W wywiadzie Władysław Kosiniak-Kamysz wyraził sceptycyzm co do skuteczności obecnych środków cyberbezpieczeństwa.
0.07142452150583267,0.0635484978556633,0.09211324155330658,0.051219161599874496,0.04681027680635452,0.10374089330434799,0.46216484904289246,0.21086038649082184,Szymon Hołownia,Szymon Hołownia opowiedział się za bardziej rygorystycznymi przepisami dotyczącymi ochrony środowiska podczas swojej kadencji.
0.031837090849876404,0.07318311184644699,0.11379726231098175,0.05963803827762604,0.07156619429588318,0.04026706516742706,0.415166974067688,0.19327861070632935,Szymon Hołownia,"Szymon Hołownia sprzeciwił się nowej ustawie o reformie podatkowej, wyrażając obawy dotyczące jej wpływu na rodziny ze średnich warstw społecznych."
