Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Politician,Sentence
0.06766524165868759,0.08354850113391876,0.07454639673233032,0.030267586931586266,0.06208335980772972,0.08650652319192886,0.4744103252887726,0.18328042328357697,Elżbieta Witek,Elżbieta Witek opowiedział się za bardziej rygorystycznymi przepisami dotyczącymi ochrony środowiska podczas swojej kadencji.
0.01758023537695408,0.1060592383146286,0.15184517204761505,0.06996800750494003,0.10144193470478058,0.030574804171919823,0.3821905553340912,0.20641350746154785,Elżbieta Witek,"Elżbieta Witek sprzeciwił się nowej ustawie o reformie podatkowej, wyrażając obawy dotyczące jej wpływu na rodziny ze średnich warstw społecznych."
0.16605940461158752,0.025345001369714737,0.048017773777246475,0.03193391114473343,0.02770904265344143,0.12416030466556549,0.5540612936019897,0.20948803424835205,Elżbieta Witek,Podczas debaty Elżbieta Witek obiecał zwiększyć finansowanie publicznej edukacji.
0.13303306698799133,0.028075361624360085,0.023832660168409348,0.015544378198683262,0.03591427579522133,0.13185004889965057,0.556782603263855,0.1445012241601944,Elżbieta Witek,Elżbieta Witek jest zagorzałym zwolennikiem umów o wolnym handlu.
0.0267869271337986,0.06476952135562897,0.11631149053573608,0.07879088819026947,0.042347315698862076,0.041944410651922226,0.42258474230766296,0.18228790163993835,Elżbieta Witek,Elżbieta Witek skrytykował politykę zagraniczną rządu w ostatnim przemówieniu.
0.03089236654341221,0.12089356034994125,0.07743778824806213,0.02907424047589302,0.06032748892903328,0.03606998920440674,0.4315469563007355,0.17647749185562134,Elżbieta Witek,Propozycja reformy służby zdrowia przedstawiona przez Elżbieta Witek spotkała się z mieszanymi reakcjami różnych interesariuszy.
0.0738464891910553,0.07262133806943893,0.10641550272703171,0.029038289561867714,0.07125557959079742,0.13283805549144745,0.47288110852241516,0.24472308158874512,Elżbieta Witek,Elżbieta Witek konsekwentnie domaga się reform wyborczych mających na celu zwiększenie uczestnictwa wyborczego.
0.02468840405344963,0.09899606555700302,0.1290678083896637,0.08872519433498383,0.12349099665880203,0.045510876923799515,0.3833363354206085,0.1879022717475891,Elżbieta Witek,W wywiadzie Elżbieta Witek wyraził sceptycyzm co do skuteczności obecnych środków cyberbezpieczeństwa.
0.06325607001781464,0.07644467055797577,0.05108104646205902,0.022599007934331894,0.052287373691797256,0.08957035094499588,0.4803937077522278,0.14460475742816925,Michał Kołodziejczak,Michał Kołodziejczak opowiedział się za bardziej rygorystycznymi przepisami dotyczącymi ochrony środowiska podczas swojej kadencji.
0.01745467446744442,0.09440601617097855,0.12404336035251617,0.06272126734256744,0.10346385091543198,0.027040980756282806,0.39348405599594116,0.18401725590229034,Michał Kołodziejczak,"Michał Kołodziejczak sprzeciwił się nowej ustawie o reformie podatkowej, wyrażając obawy dotyczące jej wpływu na rodziny ze średnich warstw społecznych."
