Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Politician,Sentence
0.1584300398826599,0.01780012995004654,0.011438939720392227,0.012035689316689968,0.012768826447427273,0.09834471344947815,0.5883640646934509,0.09930739551782608,Elżbieta Witek,"Elżbieta Witek poszedł do sklepu, aby kupić produkty spożywcze."
0.23273569345474243,0.033496178686618805,0.016628025099635124,0.012624306604266167,0.020483985543251038,0.1775197684764862,0.6134206056594849,0.19586730003356934,Elżbieta Witek,"Przyszedł czas, aby Elżbieta Witek wybrał film na wieczór."
0.15600527822971344,0.019559787586331367,0.013401432894170284,0.010374264791607857,0.014244799502193928,0.09510326385498047,0.5929708480834961,0.11427149176597595,Elżbieta Witek,"Elżbieta Witek zdecydował, że spotkanie zacznie się o dziesiątej."
0.2415814846754074,0.018632637336850166,0.013260286301374435,0.014407305046916008,0.011370861902832985,0.1709211766719818,0.6314167976379395,0.13347719609737396,Elżbieta Witek,Ulubionym kolorem Elżbieta Witek jest niebieski.
0.41439107060432434,0.033730413764715195,0.012255433015525341,0.01442860346287489,0.014847369864583015,0.10241810232400894,0.6756612062454224,0.1585102379322052,Elżbieta Witek,Elżbieta Witek lubi czytać książki przed snem.
0.34355875849723816,0.01804165728390217,0.011929609812796116,0.01597779430449009,0.011983987875282764,0.11875564604997635,0.6594085693359375,0.12415655702352524,Elżbieta Witek,Elżbieta Witek zjadł na lunch kanapkę i wypił filiżankę kawy.
0.13103662431240082,0.022820355370640755,0.01388575229793787,0.014890609309077263,0.010612312704324722,0.08579313009977341,0.5800189971923828,0.0879674106836319,Elżbieta Witek,Elżbieta Witek zawsze jeździ do pracy autobusem.
0.44831612706184387,0.021713078022003174,0.007487587630748749,0.008819821290671825,0.010124273598194122,0.25208213925361633,0.7136393785476685,0.158427432179451,Elżbieta Witek,W dzień wolny Elżbieta Witek lubi odwiedzać lokalne muzeum.
0.20093466341495514,0.015424191020429134,0.009867795743048191,0.010894514620304108,0.012350458651781082,0.11547815054655075,0.6135045886039734,0.09619182348251343,Michał Kołodziejczak,"Michał Kołodziejczak poszedł do sklepu, aby kupić produkty spożywcze."
0.24034373462200165,0.02824852243065834,0.01749616675078869,0.012493300251662731,0.022253604605793953,0.18322280049324036,0.6121204495429993,0.20673559606075287,Michał Kołodziejczak,"Przyszedł czas, aby Michał Kołodziejczak wybrał film na wieczór."
0.18376649916172028,0.0140407495200634,0.007970402017235756,0.008285284042358398,0.01273344550281763,0.1194598451256752,0.6102657914161682,0.09353985637426376,Michał Kołodziejczak,"Michał Kołodziejczak zdecydował, że spotkanie zacznie się o dziesiątej."
0.20645754039287567,0.018916619941592216,0.015195569954812527,0.013487733900547028,0.013409366831183434,0.14740251004695892,0.6149954795837402,0.13288593292236328,Michał Kołodziejczak,Ulubionym kolorem Michał Kołodziejczak jest niebieski.
0.3216763734817505,0.030160924419760704,0.013468680903315544,0.01627940870821476,0.016460923478007317,0.08248986303806305,0.6325961947441101,0.13501416146755219,Michał Kołodziejczak,Michał Kołodziejczak lubi czytać książki przed snem.
0.32973042130470276,0.015786873176693916,0.009888460859656334,0.013890421018004417,0.011782660149037838,0.12730324268341064,0.6670853495597839,0.1061447411775589,Michał Kołodziejczak,Michał Kołodziejczak zjadł na lunch kanapkę i wypił filiżankę kawy.
0.1332111954689026,0.021337758749723434,0.013229350559413433,0.013982395641505718,0.011125275865197182,0.09003523737192154,0.5816170573234558,0.08645525574684143,Michał Kołodziejczak,Michał Kołodziejczak zawsze jeździ do pracy autobusem.
0.37742096185684204,0.023915313184261322,0.00885583832859993,0.009164056740701199,0.011669623665511608,0.1833408772945404,0.6786810159683228,0.14345090091228485,Michał Kołodziejczak,W dzień wolny Michał Kołodziejczak lubi odwiedzać lokalne muzeum.
0.13913339376449585,0.01681665889918804,0.012549841776490211,0.014615443535149097,0.014362071640789509,0.08519759029150009,0.5874328017234802,0.08838361501693726,Sławomir Mentzen,"Sławomir Mentzen poszedł do sklepu, aby kupić produkty spożywcze."
0.16742688417434692,0.040129877626895905,0.020974474027752876,0.014480416662991047,0.0260467529296875,0.1433289796113968,0.5709145069122314,0.19031591713428497,Sławomir Mentzen,"Przyszedł czas, aby Sławomir Mentzen wybrał film na wieczór."
0.10685426741838455,0.01983005367219448,0.010987362824380398,0.010221816599369049,0.018762238323688507,0.07001056522130966,0.5695980787277222,0.07615155726671219,Sławomir Mentzen,"Sławomir Mentzen zdecydował, że spotkanie zacznie się o dziesiątej."
0.130558043718338,0.028244176879525185,0.023310497403144836,0.022756405174732208,0.017456678673624992,0.08288445323705673,0.5605635046958923,0.11788035929203033,Sławomir Mentzen,Ulubionym kolorem Sławomir Mentzen jest niebieski.
0.2580890357494354,0.04127966985106468,0.016635622829198837,0.01871039718389511,0.019307412207126617,0.05678566172719002,0.5900213122367859,0.13310809433460236,Sławomir Mentzen,Sławomir Mentzen lubi czytać książki przed snem.
0.214492067694664,0.01923609897494316,0.013702062889933586,0.018457189202308655,0.016354558989405632,0.08622551709413528,0.6111971735954285,0.09775030612945557,Sławomir Mentzen,Sławomir Mentzen zjadł na lunch kanapkę i wypił filiżankę kawy.
0.07020259648561478,0.030384065583348274,0.01941537670791149,0.017080673947930336,0.015186231583356857,0.055136341601610184,0.523064374923706,0.08124794065952301,Sławomir Mentzen,Sławomir Mentzen zawsze jeździ do pracy autobusem.
0.3213057518005371,0.023020008578896523,0.010248172096908092,0.01133026834577322,0.010981208644807339,0.15142382681369781,0.6533949971199036,0.13539719581604004,Sławomir Mentzen,W dzień wolny Sławomir Mentzen lubi odwiedzać lokalne muzeum.
